"","area","E","Tp","num_pred","rho","mae","rmse","perc","p_val","rho_linear","mae_linear","rmse_linear","perc_linear","p_val_linear","predator","prey","direction"
"1","11",7,0,676,0.0528161820985012,10.5506225777437,23.7107685833455,0.526627218934911,0.0851179132706534,0.0699000313593022,8.13436511946439,22.7659829600237,0.509615384615385,0.0346602126472303,"jonah","scallop","predator -> prey"
"2","11",4,0,676,-0.0210265876195152,6.39638229973903,10.6886527374072,0.490384615384615,0.7073148470864,0.0439260303905925,4.82719488952658,9.48817726746771,0.499260355029586,0.12708617884412,"jonah","scallop","prey -> predator"
"3","11",7,0,676,0.254386034056667,9.70410326211565,22.1897303373298,0.515532544378698,1e-10,0.0103499831628927,7.92871059887122,22.8205826711597,0.531804733727811,0.394152861297526,"rock","scallop","predator -> prey"
"4","11",7,0,676,-0.00455233603247478,4.91433625500517,9.2051876351322,0.502218934911243,0.547005243880969,0.0120429470278962,3.32441744597839,8.12474495852684,0.505177514792899,0.377354532810319,"rock","scallop","prey -> predator"
"5","11",7,0,676,0.0426837846287717,4.56811190281226,8.64166650377088,0.531804733727811,0.133933856479322,0.081116119538459,3.45394390051789,8.09855844338445,0.493343195266272,0.0174736797552022,"jonah","rock","predator -> prey"
"6","11",7,0,676,0.0403771053323847,5.96264126000117,10.3276028427514,0.545118343195266,0.147309514802613,0.0255497132383936,4.84402987053104,9.49424385455878,0.530325443786982,0.253677712905459,"jonah","rock","prey -> predator"
"7","12",7,0,676,0.0528161820985012,10.5506225777437,23.7107685833455,0.526627218934911,0.0851179132706534,0.0699000313593022,8.13436511946439,22.7659829600237,0.509615384615385,0.0346602126472303,"jonah","scallop","predator -> prey"
"8","12",4,0,676,-0.0210265876195152,6.39638229973903,10.6886527374072,0.490384615384615,0.7073148470864,0.0439260303905925,4.82719488952658,9.48817726746771,0.499260355029586,0.12708617884412,"jonah","scallop","prey -> predator"
"9","12",7,0,676,0.254386034056667,9.70410326211565,22.1897303373298,0.515532544378698,1e-10,0.0103499831628927,7.92871059887122,22.8205826711597,0.531804733727811,0.394152861297526,"rock","scallop","predator -> prey"
"10","12",7,0,676,-0.00455233603247478,4.91433625500517,9.2051876351322,0.502218934911243,0.547005243880969,0.0120429470278962,3.32441744597839,8.12474495852684,0.505177514792899,0.377354532810319,"rock","scallop","prey -> predator"
